query,new_result,score,result
ahi tuna,Sushi Bars,3,Hawaiian
ahi tuna,Sushi Bars,3,Japanese
ahi tuna,Sushi Bars,3,Sushi Bars
arepa rice,Latin American,1,Indian
arepa rice,Latin American,1,Vietnamese
arepa rice,Latin American,3,Latin American
authentic Polish,Hot Dogs,1,Noodles
authentic Polish,Hot Dogs,1,Halal
authentic Polish,Hot Dogs,1,Vietnamese
authentic Polish,Hot Dogs,1,Thai
authentic Polish,Hot Dogs,1,Mexican
authentic Polish,Hot Dogs,1,Latin American
authentic Polish,Hot Dogs,2,Hot Dogs
authentic Polish,Hot Dogs,3,Ethnic Food
bagel sandwiches,Delis,1,Mediterranean
bagel sandwiches,Delis,1,Burgers
bagel sandwiches,Delis,2,Food Stands
bagel sandwiches,Delis,2,Cheesesteaks
bagel sandwiches,Delis,3,Delis
bagel sandwiches,Delis,3,Sandwiches
baguette,Delis,1,Vegan
baguette,Delis,2,Mediterranean
baguette,Delis,3,French
baguette,Delis,3,Bakeries
baguette,Delis,3,Delis
bbq duck,Barbeque,2,Chinese
bbq duck,Barbeque,3,Korean
bbq duck,Barbeque,3,Barbeque
brews,Gastropubs,3,Breweries
brews,Gastropubs,3,Pubs
brews,Gastropubs,3,Irish
brews,Gastropubs,3,Gastropubs
brisket,Barbeque,3,Barbeque
bulgogi,Korean,1,Vietnamese
bulgogi,Korean,3,Korean
burger and fries,Burgers,2,Hot Dogs
burger and fries,Burgers,3,American (Traditional)
burger and fries,Burgers,3,Burgers
buttery bread,Canadian (New),1,Vegan
buttery bread,Canadian (New),2,Fish & Chips
buttery bread,Canadian (New),2,Canadian (New)
buttery bread,Canadian (New),3,French
buttery bread,Canadian (New),3,Bakeries
california roll,Sushi Bars,1,Mexican
california roll,Sushi Bars,3,Sushi Bars
california roll,Sushi Bars,3,Japanese
carne asada,Mexican,2,Latin American
carne asada,Mexican,3,Tex-Mex
carne asada,Mexican,3,Mexican
catfish,Cajun/Creole,1,Japanese
catfish,Cajun/Creole,3,Southern
catfish,Cajun/Creole,3,Cajun/Creole
chai latte,Cafes,1,Vietnamese
chai latte,Cafes,1,Indian
chai latte,Cafes,2,Desserts
chai latte,Cafes,3,Coffee & Tea
chai latte,Cafes,3,Breakfast & Brunch
cheap beer,Gastropubs,1,Buffets
cheap beer,Gastropubs,2,Irish
cheap beer,Gastropubs,2,Gastropubs
cheap beer,Gastropubs,3,Dive Bars
cheap beer,Gastropubs,3,Mexican
chicken noodle,Chinese,1,Indian
chicken noodle,Chinese,1,Caribbean
chicken noodle,Chinese,1,Latin American
chicken noodle,Chinese,2,Chinese
chicken noodle,Chinese,3,Soup
chili dog,Hot Dogs,1,Mexican
chili dog,Hot Dogs,1,Caribbean
chili dog,Hot Dogs,1,Latin American
chili dog,Hot Dogs,3,Hot Dogs
chili dog,Hot Dogs,3,Food Trucks
chips and salsa,Mexican,2,Latin American
chips and salsa,Mexican,3,Mexican
chocolate truffles,Tapas Bars,1,Diners
chocolate truffles,Tapas Bars,1,Vegan
chocolate truffles,Tapas Bars,1,Italian
chocolate truffles,Tapas Bars,2,Spanish
chocolate truffles,Tapas Bars,2,Canadian (New)
chocolate truffles,Tapas Bars,2,Tapas Bars
chocolate truffles,Tapas Bars,3,Desserts
clam chowder,Seafood,1,Latin American
clam chowder,Seafood,3,Soup
clam chowder,Seafood,3,Seafood
cocktails,Tapas Bars,1,Spanish
cocktails,Tapas Bars,1,Irish
cocktails,Tapas Bars,3,Bars
cocktails,Tapas Bars,3,Tapas/Small Plates
cocktails,Tapas Bars,3,Tapas Bars
coffee and a sandwich,Sandwiches,1,Bakeries
coffee and a sandwich,Sandwiches,1,Vegan
coffee and a sandwich,Sandwiches,2,Burgers
coffee and a sandwich,Sandwiches,2,Mediterranean
coffee and a sandwich,Sandwiches,3,Cafes
coffee and a sandwich,Sandwiches,3,Sandwiches
cold dessert,Buffets,1,Fish & Chips
cold dessert,Buffets,1,Noodles
cold dessert,Buffets,2,Korean
cold dessert,Buffets,2,Buffets
cold dessert,Buffets,3,Ice Cream & Frozen Yogurt
cold dessert,Buffets,3,Desserts
comfort food,Mexican,1,Vegan
comfort food,Mexican,1,Thai
comfort food,Mexican,1,Korean
comfort food,Mexican,2,Pakistani
comfort food,Mexican,2,Halal
comfort food,Mexican,2,Irish
comfort food,Mexican,2,Mexican
comfort food,Mexican,3,Comfort Food
cookies,Buffets,1,Diners
cookies,Buffets,1,Vegan
cookies,Buffets,1,Canadian (New)
cookies,Buffets,2,Buffets
cookies,Buffets,3,Bakeries
cookies,Buffets,3,Desserts
corndogs,Mediterranean,1,Mexican
corndogs,Mediterranean,1,Latin American
corndogs,Mediterranean,1,Mediterranean
corndogs,Mediterranean,3,Food Stands
corndogs,Mediterranean,3,Food Trucks
corned beef hash,Diners,1,Korean
corned beef hash,Diners,1,Caribbean
corned beef hash,Diners,1,Latin American
corned beef hash,Diners,3,Diners
corned beef hash,Diners,3,Breakfast & Brunch
crab cakes,Cajun/Creole,1,Barbeque
crab cakes,Cajun/Creole,2,Cajun/Creole
crab cakes,Cajun/Creole,3,Seafood
crab legs,Buffets,2,Japanese
crab legs,Buffets,3,Seafood
crab legs,Buffets,3,Buffets
creme brulee,Buffets,1,Diners
creme brulee,Buffets,1,Vegan
creme brulee,Buffets,1,Buffets
creme brulee,Buffets,2,Canadian (New)
creme brulee,Buffets,3,Brasseries
creme brulee,Buffets,3,Desserts
curry,Indian,1,Noodles
curry,Indian,2,Thai
curry,Indian,3,Indian
draft beers,Gastropubs,3,Pubs
draft beers,Gastropubs,3,Irish
draft beers,Gastropubs,3,Gastropubs
drunken noodles,Thai,2,Chinese
drunken noodles,Thai,2,Vietnamese
drunken noodles,Thai,2,Korean
drunken noodles,Thai,3,Noodles
drunken noodles,Thai,3,Thai
dry rubbed wings,Barbeque,1,Caribbean
dry rubbed wings,Barbeque,3,Chicken Wings
dry rubbed wings,Barbeque,3,Barbeque
dumplings,Chinese,2,Vietnamese
dumplings,Chinese,2,Korean
dumplings,Chinese,3,Chinese
eggs,Diners,1,Food Trucks
eggs,Diners,1,Latin American
eggs,Diners,3,Breakfast & Brunch
eggs,Diners,3,Diners
espresso drinks,Cafes,1,Tapas Bars
espresso drinks,Cafes,1,American (New)
espresso drinks,Cafes,2,Desserts
espresso drinks,Cafes,2,Ice Cream & Frozen Yogurt
espresso drinks,Cafes,3,Cafes
falafel,Mediterranean,2,Mediterranean
falafel,Mediterranean,3,Middle Eastern
filet mignon,Steakhouses,1,Barbeque
filet mignon,Steakhouses,1,Southern
filet mignon,Steakhouses,3,Steakhouses
Fish and Chips,Mexican,1,Mexican
Fish and Chips,Mexican,1,Burgers
Fish and Chips,Mexican,1,Cajun/Creole
Fish and Chips,Mexican,1,Latin American
Fish and Chips,Mexican,2,Food Trucks
Fish and Chips,Mexican,3,Fish & Chips
Fish and Chips,Mexican,3,Seafood
fresh seafood,Seafood,1,Salad
fresh seafood,Seafood,2,Soup
fresh seafood,Seafood,2,Meat Shops
fresh seafood,Seafood,2,Mediterranean
fresh seafood,Seafood,3,Seafood
fried chicken,Chinese,1,Indian
fried chicken,Chinese,2,Caribbean
fried chicken,Chinese,2,Latin American
fried chicken,Chinese,2,Chinese
fried chicken,Chinese,3,Southern
fried chicken,Chinese,3,Chicken Wings
frozen yogurt smoothie,Mediterranean,1,Fish & Chips
frozen yogurt smoothie,Mediterranean,2,Hot Dogs
frozen yogurt smoothie,Mediterranean,2,Vegan
frozen yogurt smoothie,Mediterranean,3,Desserts
frozen yogurt smoothie,Mediterranean,3,Juice Bars & Smoothies
garlic hummus,Mediterranean,1,Indian
garlic hummus,Mediterranean,1,Caribbean
garlic hummus,Mediterranean,3,Mediterranean
greasy spoon big portions,Chinese,1,Greek
greasy spoon big portions,Chinese,1,Korean
greasy spoon big portions,Chinese,1,Mediterranean
greasy spoon big portions,Chinese,2,Barbeque
greasy spoon big portions,Chinese,2,Fish & Chips
greasy spoon big portions,Chinese,2,Pizza
greasy spoon big portions,Chinese,3,Diners
greasy spoon big portions,Chinese,3,Burgers
grilled cheese,Burgers,1,Barbeque
grilled cheese,Burgers,1,Mediterranean
grilled cheese,Burgers,2,Burgers
grilled cheese,Burgers,3,Food Trucks
grilled cheese,Burgers,3,Sandwiches
Guinness,Irish,2,Desserts
Guinness,Irish,3,Irish
gumbo,Cajun/Creole,1,Chinese
gumbo,Cajun/Creole,3,Cajun/Creole
gumbo,Cajun/Creole,3,Southern
gyro,Mediterranean,3,Greek
gyro,Mediterranean,3,Mediterranean
gyros,Mediterranean,3,Greek
gyros,Mediterranean,3,Mediterranean
haggis,Fish & Chips,1,Vegan
haggis,Fish & Chips,2,Barbeque
haggis,Fish & Chips,2,Fish & Chips
haggis,Fish & Chips,3,British
half sandwich and soup,Mediterranean,1,Mediterranean
half sandwich and soup,Mediterranean,1,Caribbean
half sandwich and soup,Mediterranean,3,Sandwiches
half sandwich and soup,Mediterranean,3,Soup
half sandwich and soup,Mediterranean,3,Cheesesteaks
har gow,Chinese,1,Delis
har gow,Chinese,1,Buffets
har gow,Chinese,3,Dim Sum
har gow,Chinese,3,Chinese
hash browns,Diners,1,Latin American
hash browns,Diners,3,Breakfast & Brunch
hash browns,Diners,3,Diners
healthy,Mediterranean,1,Buffets
healthy,Mediterranean,3,Vegan
healthy,Mediterranean,3,Salad
healthy,Mediterranean,3,Mediterranean
homemade pasta,Italian,1,Soup
homemade pasta,Italian,2,Mediterranean
homemade pasta,Italian,3,Bakeries
homemade pasta,Italian,3,Italian
homemade poutine,Burgers,1,Mediterranean
homemade poutine,Burgers,1,Burgers
homemade poutine,Burgers,1,Latin American
homemade poutine,Burgers,2,Food Stands
homemade poutine,Burgers,2,Hot Dogs
homemade poutine,Burgers,2,Sandwiches
homemade poutine,Burgers,3,Diners
horchata,Mexican,3,Bars
horchata,Mexican,3,Mexican
horchata,Mexican,3,Latin American
hush puppies,Cajun/Creole,2,Cajun/Creole
hush puppies,Cajun/Creole,3,Southern
intimate setting with wine pairings,Tapas Bars,1,Irish
intimate setting with wine pairings,Tapas Bars,2,Tapas Bars
intimate setting with wine pairings,Tapas Bars,2,Tapas/Small Plates
intimate setting with wine pairings,Tapas Bars,3,Spanish
kalua,Hawaiian,1,Asian Fusion
kalua,Hawaiian,1,Barbeque
kalua,Hawaiian,1,Filipino
kalua,Hawaiian,2,Korean
kalua,Hawaiian,3,Hawaiian
kimchi,Korean,1,Vietnamese
kimchi,Korean,3,Korean
lamb curry,Indian,1,Caribbean
lamb curry,Indian,3,Indian
leafy greens,Mediterranean,1,Mexican
leafy greens,Mediterranean,1,Latin American
leafy greens,Mediterranean,1,Caribbean
leafy greens,Mediterranean,1,Breakfast & Brunch
leafy greens,Mediterranean,2,Mediterranean
leafy greens,Mediterranean,3,Vegan
leafy greens,Mediterranean,3,Salad
lemonade,American (New),2,Desserts
lemonade,American (New),2,Cafes
lemonade,American (New),2,Hot Dogs
lemonade,American (New),2,American (New)
lemonade,American (New),3,Food Stands
